id,trigger,conditions,script,text,options,notes
gaFCAskAroundKapteynBar1,DialogOptionSelected,"$option == gaFCKapteyn_barEvent
Call $global.gaFC_ref updateData",Call $global.gaFC_ref showKapteynBarAgent,"你四处打听失踪院士的事，不断为别人买着价格适中的饮料，试图从他们的嘴里套出一些情报。这是一个海盗酒吧，尽管他们对免费酒水的热情是出了名的，但海盗们不愿向问太多问题的人敞开心扉。

一个穿着昂贵但看着很破旧的外套的可疑人物接受了你的请客。""他们认为你是星区里最蠢的卧底探员。""

""但我知道你不是什么 - ""{$gaFC_KBAheOrShe}长啜了一口饮料。"" - 探员。我看到你的{$shipOrFleet}进来之后，做了一些调查。你得知道，这是我的工作。""","gaFCKapteyn_barEvent2:""你从事的是什么工作?""",
gaFCAskAroundKapteynBar2,DialogOptionSelected,$option == gaFCKapteyn_barEvent2,$askedBarCoureuse = true,"""搞懂事情，然后出售情报。""","gaFCKapteyn_barEvent3:""那看来我找对人了。""
backToBar:""不感兴趣，回见。""",
gaFCAskAroundKapteynBar3,DialogOptionSelected,$option == gaFCKapteyn_barEvent3,FireAll GAFCAskAroundKapteynBar4Hub,"{$gaFC_KBAHeOrShe}狡猾地笑了笑: ""没错。""

""问题是，我已经出售了这些情报，如果我不尊重我和我的客户对这些情报的...嗯...'独家效用'的理解，而再次传播它，我的客户可能会提出异议。我的顾客在这里可是个重要人物 - 你大概能明白我是什么意思。现在，如果你直接去找那位客户谈谈，你可能会得到一些有用的消息。""",,
gaFCAskAroundKapteynBar4Option1,GAFCAskAroundKapteynBar4Hub,$global.gaFC_knowAboutLeagueOp,,,"gaFC_kapteynBarAlreadyKnow:""我已经和{Kapteyn}的头子谈过了，还拿到了一些情报。""",
gaFCAskAroundKapteynBar4Option2,GAFCAskAroundKapteynBar4Hub,!$askedAboutYourProfit,,,"gaFC_kapteynBarYourProfit:""这还没让你清醒点吗? 你自身的利益呢?""",
gaFCAskAroundKapteynBar4Option3,GAFCAskAroundKapteynBar4Hub,,,,"gaFC_kapteynBarDone:""感谢你的提示，请慢用吧。""",
gaFCAskAroundKapteynBarKnow,DialogOptionSelected,$option == gaFC_kapteynBarAlreadyKnow,,"""那么好吧，舰长! 很高兴能帮到你。""","gaFC_kapteynBarMore:""我还是需要一些帮助来找到{Coureuse}，你能帮忙吗?""
gaFC_kapteynBarDone:""多谢，慢用吧。""",
gaFCAskAroundKapteynBarProfit,DialogOptionSelected,$option == gaFC_kapteynBarYourProfit,"$askedAboutYourProfit = true 0
FireAll GAFCAskAroundKapteynBar4Hub","{$gaFC_KBAHeOrShe}耸了耸肩。""听好了，这是个长期工作。现在你来问我问题了，这就说明我的客户当初的选择是正确的。等到他们还需要其他情报的时候，他们会很愿意做回头客的。""

""我规划得很长远，朋友。这就是这些游手好闲的海盗跟班和我的区别，我可是个要去更美好的地方生活的人。""",,
gaFCAskAroundKapteynBarDone,DialogOptionSelected,$option == gaFC_kapteynBarDone,"AddPotentialContact
$option = backToBar 0
FireBest DialogOptionSelected","{$gaFC_KBAHeOrShe}行了个颇具讽刺意味的礼，说: ""随时可以再来拜访我，舰长。想要再做点生意的话，记得我随时恭候。""{$gaFC_KBAHeOrShe}转过身去，继续啜饮着{$gaFC_KBAhisOrHer}的饮料。",,
gaFCAskAroundKapteynBarMore,DialogOptionSelected,"$option == gaFC_kapteynBarMore
Call $global.gaFC_ref updateData","Highlight $gaFC_kapteynBarBribeCost 
DoCanAffordCheck $gaFC_kapteynBarBribeCost gaFC_kapteynBarOfferBribe false","{$gaFC_KBAHeOrShe}叹了一口气。""也许能。听着，这是一笔交易。这是...如果你想从我这得到更多情报，我需要更多报酬，{$gaFC_kapteynBarBribeCost}星币。""

{$gaFC_KBAHeOrShe}点击了一下{$gaFC_KBAhisOrHer}数据板，并将它转向了你，让你确认汇款细节。","gaFC_kapteynBarOfferBribe:付款
gaFC_kapteynBarDone:""我会自己搞定这事的，请慢用吧。""",
gaFCKapteynBarBribe,DialogOptionSelected,$option == gaFC_kapteynBarOfferBribe,,"""记住，接下来的情报你不是从我这里得到的 - 因为我可不想招惹左径分子，他们都是神经病，一点也不在乎钱...或许他们在乎，只是不愿违背那该死的卢德规矩，无论如何我都看不懂他们的行为举止。""

""有一群左径分子渗透到了{Laicaille}栖息地。我猜他们是在找{Coureuse}，毕竟没有东西值得他们干到这种地步了。""","gaFC_kapteynBarOfferBribe2:""你有证据吗? 一些资料啥的?""",
gaFCKapteynBarBribe1,DialogOptionSelected,$option == gaFC_kapteynBarOfferBribe2,,"""呃，你看，我发现了他们的行动，但并没有去做深入调查。""{$gaFC_KBAHeOrShe}似乎不太想谈这个，""我说过了，我不会招惹左径分子。我没收你那么多钱，何况你有保镖和全副武装的舰队，而我只是一个想要谋生的刚解冻的太空冻肉。""

{$gaFC_KBAHeOrShe}深吸了一口气，然后说: ""听着，我很抱歉这不是什么更有用的情报，但我不会去冒险的，得你自己上了。也许你四处问问就可以引起他们的注意 - 他们有要务在身，不会冒险对你动手，以免引起不必要的关注。你还可能查到他们是怎么和总部联系的。这些左径分子都是最近才来的，在这里应该没有成熟的指挥体系，他们得和外边的领导层进行一些协调工作。""

""现在，""{$gaFC_KBAHeOrShe}一口喝完了酒，开口道，""再见，祝你好运。""{$gaFC_KBAHeOrShe}站起来，向出口走去。",backToBar:返回酒吧,
# gaFC bother various people at Laicaille,,,,,,
gaFCLaicailleCommanderBother,PopulateOptions,"$postId == stationCommander
$market.id == laicaille_habitat
$global.gaFC_searchIsirah
!$askedAboutScylla",,,"gaFC_laicailleCommanderBother2:""我在找{Scylla Coureuse}。""",
gaFCLaicailleCommanderBother2,DialogOptionSelected,$option == gaFC_laicailleCommanderBother2,,"""我不认识她。如果你的问题与空间站的事务无关，我会非常失望的，""{$heOrShe}瞥了一眼一旁的某种读数，""不论你是谁。""","gaFC_laicailleCommanderBother3:""这很重要。"" (解释)
cutCommLink:切断通讯",
gaFCLaicailleCommanderBother3,DialogOptionSelected,$option == gaFC_laicailleCommanderBother3,$askedAboutScylla = true,"在你开始解释之前，{$post}举起{$hisOrHer}手打断了你。

""我敢肯定那会是个精彩的故事。但很遗憾，我正忙于保持这空间站和周围空域的安全，毕竟有太多的左径分子，海盗和怀揣大胆想法的自由人正伺机而动了，而英仙座联盟给我的资源实在是太有限了。如果你想帮忙，支付关税并保持通讯畅通，别惹麻烦，我会对此表示感谢，舰长。""

在{$hisOrHer}的演讲结束和通讯链接终止之间几乎没有任何空档。",cutCommLink:切断通讯,
# gaFC Laicaille Navarch,,,,,,
gaFCLaicailleNavarchBother,PopulateOptions,"$postId == portmaster
$market.id == laicaille_habitat
$global.gaFC_searchIsirah
!$askedAboutScylla",,,"gaFC_laicailleNavarchBother2:""我正在找{Scylla Coureuse}。""",
gaFCLaicailleNavarchBother2,DialogOptionSelected,$option == gaFC_laicailleNavarchBother2,$askedAboutScylla = true,"""唔，最近还没有这个名字的船出现在这附近过。""{$heOrShe}轻敲着桌上的控制台。""确实没有，恐怕我不能帮你找到你丢失的船了，舰长。""","gaFC_laicailleNavarchBother3:""不，我可没在找一艘船。那是个人的名字。""
cutCommLink:""呃，多谢帮忙。""",
gaFCLaicailleNavarchBother3,DialogOptionSelected,$option == gaFC_laicailleNavarchBother3,,"{$HeOrShe}抬头看着你。""啊，当然。如果是想找人的话，我想查询空间站的公共通讯录会是个不错的主意。再见，公民。保持警惕!""

在你还来得及回应之前通讯线路就中断了，你面前只剩一个旋转的英仙座联盟舰队队徽。",cutCommLink:切断通讯,
# gaFC Laicaille Quartermaster,,,,,,
gaFCLaicailleQuartermasterBother,PopulateOptions,"$postId == supplyOfficer
$market.id == laicaille_habitat
$global.gaFC_searchIsirah
!$askedAboutScylla",,,"gaFC_laicailleQuartermasterBother2:""我正在找{Scylla Coureuse}。""",
gaFCLaicailleQuartermasterBother2,DialogOptionSelected,$option == gaFC_laicailleQuartermasterBother2,,"""哦，是吗? 那又是什么? 需要运送更多的秘密物品到一个{'你不用知道'}的位置，而现在你需要我覆写空间站安全协议吗?""

""给我书面命令，""{$HeOrShe}在空中划着{$hisOrHer}手来强调重点。""不能有例外。我之前和你们说过了，在空间站内运输你们藏在秘密仓库里的...卢德才知道是什么鬼的东西的过程中，一旦出了什么问题，我就得人头落地。""","cutCommLink:""好吧，当然，我会带着书面命令回来的。""
gaFC_laicailleQuartermasterBother3:""等等，什么秘密仓库?""
gaFC_laicailleQuartermasterBother4:""我有非得这么做的理由!"" (虚张声势)",
gaFCLaicailleQuartermasterBother3,DialogOptionSelected,$option == gaFC_laicailleQuartermasterBother3,"$askedAboutScylla = true
FireAll PopulateOptions","{$post}看向你的眼神几乎被歉意填满...几乎。

""你不是和那帮人一起的，对吧? 行，你应该会自动收到报关单和关税表。现在你还有什么业务需要我帮忙的?""",,
gaFCLaicailleQuartermasterBother4,DialogOptionSelected,$option == gaFC_laicailleQuartermasterBother4,"$askedAboutScylla = true
AdjustRepActivePerson INHOSPITABLE -1","""不能有例外.""{$HeOrShe}直截了当地这么说着，从{$hisOrHer}那端关闭了通讯连接，你只能对着{Laicaille}栖息地的徽标干瞪眼。",cutCommLink:切断通讯,
# gaFC Laicaille Archon SEARCH_ISIRAH,,,,,,
gaFCArchonFirstContact,PopulateOptions,"$postId == baseCommander
$market.id == laicaille_habitat
$global.gaFC_searchIsirah
#!$askedAboutCoureuse
Call $global.gaFC_ref updateData","$option = gaFC_archonSearchHubLeadIn 0
FireBest DialogOptionSelected",,,
gaFCArchonSearchHubLeadIn,DialogOptionSelected,$option == gaFC_archonSearchHubLeadIn,FireAll gaFCArchonSearchHubOption,,,
gaFCArchonSearchHubOption1,gaFCArchonSearchHubOption,!$askedAboutCoureuseAgain,,,"gaFC_archonAskCoureuse:""我在找{Scylla}Coureuse}。""",
gaFCArchonSearchHubOption2,gaFCArchonSearchHubOption,!$askedGalatiaIncident,,,"gaFC_archonAskGalatia:""你有关于{Galatia}事件的消息吗?""",
gaFCArchonSearchHubOption3,gaFCArchonSearchHubOption,"$global.gaFC_isirahClues >= 2
$global.gaFC_knowWhereScyllaIs",,,"gaFC_archonConfront:""我知道{Coureuse}在这空间站里，并且我有证据。""",
gaFCArchonSearchHubOptionLeave,gaFCArchonSearchHubOption,,,,cutCommLink:切断通讯,
gaFCArchonAskCoureuse,DialogOptionSelected,"$option == gaFC_archonAskCoureuse
!$askedAboutCoureuse","FireAll gaFCArchonSearchHubOption
$askedAboutCoureuse = true","""哦?""执政官的眼睛瞟向一边，然后又看向了你，""我想我没听说过这个人。""{$heOrShe}说，同时恢复了{$hisOrHer}那官僚式的，不耐烦的平静语调。""舰长，你应该是知道这里是有专门处理这类事情的公共通讯目录的。""",,
gaFCArchonAskCoureuseAgain,DialogOptionSelected,"$option == gaFC_archonAskCoureuse
$askedAboutCoureuse
$global.gaFC_isirahClues < 2","$askedAboutCoureuseAgain = true 0
FireAll gaFCArchonSearchHubOption","""又是这事。""执政官的眼睛瞟向一边，然后又看向了你，""我告诉过你了，有一个叫公共通讯录的东西可以帮到你。这事超过我的职权范围了。""",,
gaFCArchonAskCoureuseAgainB,DialogOptionSelected,"$option == gaFC_archonAskCoureuse
$global.gaFC_isirahClues >= 2
$askedAboutCoureuse",,"""又是这事。""执政官的眼睛瞟向一边，然后又看向了你，""我告诉过你了，有一个叫公共通讯录的东西可以帮到你。这事超过我的职权范围了。""","gaFC_archonConfront:""并且我有证据。""",
gaFCArchonAskGalatia,DialogOptionSelected,$option == gaFC_archonAskGalatia,$askedGalatiaIncident = true 0,"""嗯，我知道。那是{Galatia}星系最近发生的事，对吧? 学院的所作所为很危险，虽然他们应该受到谴责，但霸主也管得太宽了。英仙座联盟已经就此向派系间争端委员会提出了控诉，你听说了吗? 我们并不期望能取得什么成效，可是总有人得说些什么。""

执政官打量了你一会儿: ""你问这个干什么?""","gaFC_archonAskCoureuse:""我在找{Scylla}Coureuse}，她与此事有关。""
gaFC_archonAskGalatia2:""你觉得那样的事情会在这里发生吗?""
",
gaFCArchonAskGalatia2,DialogOptionSelected,$option == gaFC_archonAskGalatia2,FireAll gaFCArchonAskGalOptions,"""当然不会，""{$heOrShe}给出了简短的答复，""我能及时得到这个星系中所有重要的工业和科研项目的消息。至于那些海盗，""这句话中的最后一个词几乎是被对方咬牙切齿地说出的，""他们没能力掀起什么风浪。除非有另一个领主级别的人物冒出来，但英仙座联盟军备库的资金可不是我们白给的。""

执政官坐得更直了: ""所以我向你保证，你在{Laicaille}栖息地做生意时没什么可担心的，舰长。""","
",
gaFCArchonAskGalOption1,gaFCArchonAskGalOptions,$global.gaFC_knowWhereScyllaIs,,,"gaFC_archonConfront:""我有证据证明{Scylla}Coureuse}就在这空间站里。""",
gaFCArchonAskGalOption2,gaFCArchonAskGalOptions,,,,"gaFC_archonSearchHubLeadIn:""真高兴能知晓这点，现在我能放心了。""",`
gaFCArchonAskGalOption3,gaFCArchonAskGalOptions,!$global.gaFC_knowWhereScyllaIs,,,"gaFC_archonConfrontFail:""如果{Coureuse}此刻就在这空间站上呢?""",
gaFCArchonConfrontFail,DialogOptionSelected,$option == gaFC_archonConfrontFail,,"{$HeOrShe}看起来变得紧张了起来。""我不知道你在说什么，舰长。如果没有切实的证据...嗯，听着，我还要开个会。再见，舰长。""

执政官按了下一个按钮，把你扔回了只能对着{Laicaille}栖息地旋转徽章发呆的排队等待模式。

执政官在隐瞒一些事情，但如果没有令人信服的证据，你没法从{$himOrHer}口中套出什么信息。",cutCommLink:切断通讯,
gaFCArchonConfrontStart,DialogOptionSelected,$option == gaFC_archonConfront,FireAll gaFCArchonConfrontOptions,"执政官愣住了，结结巴巴地说: ""我，呃，当然，我 - """,,
gaFCArchonConfrontOption0,gaFCArchonConfrontOptions,"$global.gaFC_isirahClues >= 2
$confrontsDone < 1",,是切入正题的时候了，你会向执政官揭露什么难以忽视的真相?,,
gaFCArchonConfrontOption0b,gaFCArchonConfrontOptions,$global.gaFC_isirahClues == 1,,现在只有一个证据可以支持你的说法，揭露真相还为时尚早。你得找到另一个切实的证据来让执政官难以否认你的指控。,"cutCommLink:""当我找到证据后，我会回来找你的。""",
gaFCArchonConfrontOption1,gaFCArchonConfrontOptions,"$global.gaFC_isirahClues >= 2
$global.gaFC_hackedIsirahRelay
!$toldPathers ",,,gaFC_archonTellPathers:告诉执政官这里有左径分子组织存在,
gaFCArchonConfrontOption2,gaFCArchonConfrontOptions,"$global.gaFC_isirahClues >= 2
$global.gaFC_foundGroombridgeRelay
!$toldHypercomm",,,gaFC_archonTellRelay:告诉执政官{Groombridge}空间站上存在着一个秘密的超空间通讯中继器,
gaFCArchonConfrontOption3,gaFCArchonConfrontOptions,"$global.gaFC_isirahClues >= 2
$global.gaFC_knowAboutLeagueOp
!$toldIntel",,,gaFC_archonTellIntel:告诉执政官英仙座联盟正在这里进行一些情报活动,
gaFCArchonConfrontOption4,gaFCArchonConfrontOptions,"$global.gaFC_isirahClues >= 2
$global.gaFC_gotIsirahLeadFromSiyavong
!$toldCavin",,,gaFC_archonTellCavin:告诉执政官从{Fikenhild}的激进分子那里截获的通讯,
gaFCArchonConfrontOptionWrap,gaFCArchonConfrontOptions,$confrontsDone >= 2,,,"gaFC_archonLetMeSeeHer:""你不欠英仙座联盟什么，现在让我见见{Coureuse}。""",
gaFCArchonTellPathers,DialogOptionSelected,$option == gaFC_archonTellPathers,"$toldPathers = true 0
$confrontsDone++ 0
FireAll gaFCArchonConfrontOptions","你向{$personLastName}执政官解释说，你截获的通讯日志显示，左径分子的一个小队已经用假身份潜入了{Laicaille}栖息地来搜寻{Scylla}Coureuse}。他们知道英仙座联盟特工安全屋的存在并且已经向总部请求了增援。

当执政官看完你上传的通讯日志分析报告时，{$heOrShe}脸色苍白，瞪大眼睛看着你。""这只是个小地方，{Siyavong}告诉过我没人会找过来。现在你告诉我已经有该死的左径分子溜进了栖息地里?""",,
gaFCArchonTellRelay,DialogOptionSelected,$option == gaFC_archonTellRelay,"$toldHypercomm = true 0
$confrontsDone++ 0
FireAll gaFCArchonConfrontOptions","你上传了通讯中继器的调查报告，并向{$personLastName}执政官解释着它们所展示的内容 - 你在废弃的{Groombridge}栖息地发现了一个秘密的超空间通信中继器，它一直在定期向{Laicaille}栖息地附近的一个中继器发送信号，同时它还一直在接收来自一颗离这很远的恒星周围一系列探测器的信号。如今这组通讯阵列已经从远端被拾荒者破坏了，所以...

执政官脸色惨白: "" - 所以海盗，甚至是左径分子，都可以...""

你点了点头。

执政官摇着{$hisOrHer}头: ""这 - 这怎么可能! 他们说过不会在这里进行危险的实验!""",,
gaFCArchonTellRelay2,DialogOptionSelected,"$global.gaFC_ghostStory
$option == gaFC_archonTellRelay","$toldHypercomm = true 0
$confrontsDone++ 0
FireAll gaFCArchonConfrontOptions","你上传了涂装辐射保护镀层的无人机记录下的传感器度数和扫描结果，并向{$personLastName}执政官解释这上边显示的是什么 - 你在废弃的{Groombridge}栖息地发现了一个秘密的超空间通讯中继器，它一直在向{Laicaille}栖息地附近的一个中继器周期性地传输数据，这意味着有人在使用非官方的渠道进行通讯。

执政官脸色苍白，""有人告诉我，英仙座联盟的一切都是光明磊落的。如果他们对我有所隐瞒，不难想象那会是怎样的事...""

你点了点头。

执政官摇着{$hisOrHer}头: ""这 - 这怎么可能! 他们说过不会在这里进行危险的实验!""",,
gaFCArchonTellIntel,DialogOptionSelected,$option == gaFC_archonTellIntel,"$toldIntel = true 0
$confrontsDone++ 0
FireAll gaFCArchonConfrontOptions","你向{$personLastName}执政官解释说，你有涵盖英仙座联盟舰队在{Laicaille}的组织结构，预算信息和监视时间表在内的完整报告，甚至还有一串安全屋的列表。所有的这些都与联盟舰队情报机构停止对{Scylla}Coureuse}进行搜索有关。

你转发了你手上的文件，以展示出你得到这份资料几乎不费吹灰之力 - 只是随便丢几个子儿而已，并以此暗示了卢德组织可以用这些信息做到什么; 英仙座联盟似乎并没有把{Laicaille}栖息地的安全当回事。

执政官咬紧牙关小声地说: ""他们向我保证过这不会有问题，他们保证过...""",,
gaFCArchonTellCavin,DialogOptionSelected,$option == gaFC_archonTellCavin,"$toldCavin = true 0
$confrontsDone++ 0
FireAll gaFCArchonConfrontOptions","你解释说你有一份由{Cavin}Pharoh} - {Fikenhild}上一个擅长煽动暴乱的，危险的激进分子 - 发给{Scylla}Coureuse}的通讯信息，还是在{Laicaille}栖息地上被拦截到的。

如果舰队情报机构知道这事，他们会怎么做? 执政官对此持悲观态度。如果舰队情报机构对此一无所知，那就更糟了，不是吗?

当你转发这段伪造的信息时，执政官终于吐出了{$hisOrHer}要说的话。""他们告诉过我所有人都会安分守己，没有麻烦，也没有勾心斗角...""",,
gaFCArchonLetMeSeeHer,DialogOptionSelected,$option == gaFC_archonLetMeSeeHer,,"""我奉命...我的意思是，为了保存英仙座联盟情报...政策机密...""

{$personLastName}执政官听起来几乎要放弃了。","gaFC_archonLetMeSeeHerGoad:""来自{Kazeron}的命令? 现在我终于知道究竟是谁在管理{Laicaille}了。""
gaFC_archonLetMeSeeHerAppeal:""她可是英仙座联盟的公民。这个身份一点意义都没有吗?""
gaFC_archonLetMeSeeHerAvoid:""很好，抱歉刺探了你们的情报。""",
gaFCArchonLetMeSeeHerGoad,DialogOptionSelected,$option == gaFC_archonLetMeSeeHerGoad,,"""根本不是那么回事，""执政官结结巴巴地说。""{Laicaille}一直以来都自由而骄傲! 虽然规模很小，但具有重要的战略意义，也不受{Kazeron}家族政治的束缚。""{$HisOrHer}的脸开始变红: ""他们根本不明白! 在这里我们得工作谋生。我们面临着那些蠢货无法想象的风险。如果这个{'联盟'}不消灭藏在{Kapteyn}的那群威胁了我们几年的海盗，那这结盟条约还有什么用? 舰队税也白交了!""

{$personLastName}执政官闭上{$hisOrHer}眼睛，做了几次深呼吸，然后看向了你，对方的眼神中似乎带有全新的决意。

""现在看来，你是对的。""","gaFC_archonLetMeSeeHerGoad2:""是吗?""",
gaFCArchonLetMeSeeHerGoad2,DialogOptionSelected,$option == gaFC_archonLetMeSeeHerGoad2,"$option = gaFC_archonSuccessEnd 0
FireBest DialogOptionSelected","执政官的声音在冷酷的愤怒中稳定下来，他似乎已经忍受了这种情况许多年。""是时候让他们知道{Laicaille}是谁的了 - 它绝不属于一群在我们的空间站上玩泥巴的{Kazeron}家族子弟。""",,
gaFCArchonLetMeSeeHerAppeal,DialogOptionSelected,$option == gaFC_archonLetMeSeeHerAppeal,,"""听着，我们视我们的自由如珍宝，就像 - 不，远比那些来自{Kazeron}的劣等富豪更珍重它，""执政官气冲冲地说。""{Laicaille}一直都自由而骄傲!""{$HisOrHer}脸因为激动而涨得通红，""他们说{'不要问那么多问题'}，他们说{'联盟防御'}，{'你需要知道'}和{'我们已经处理好了'}。他们做到了吗? 这里的情况还是一团乱麻!""

{$personLastName}执政官闭上了{$hisOrHer}眼睛，做了几次深呼吸，然后对上了你的目光: ""你是对的。那些{Kazeron}间谍一直在随心摆弄我，摆弄{Laicaille}。用他们的{'安全许可'}对我们颐指气使。我已经...放下了做{Laicaille}人的意义。""",gaFC_archonLetMeSeeHerAppeal2:保持沉默,
gaFCArchonLetMeSeeHerAppeal2,DialogOptionSelected,$option == gaFC_archonLetMeSeeHerAppeal2,"$option = gaFC_archonSuccessEnd 0
FireBest DialogOptionSelected","执政官的声音在冷酷的愤怒中稳定下来，他似乎已经忍受了这种情况许多年。""但我们远比那更优秀，是时候让他们知道{Laicaille}是谁的了 - 它绝不属于一群在我们的空间站上玩泥巴的{Kazeron}家族子弟。""",,
gaFCArchonLetMeSeeHerAvoid,DialogOptionSelected,$option == gaFC_archonLetMeSeeHerAvoid,,"""等等，""执政官说，对方看起来仍然很不安，""你就这么不做追究了? 不，我不相信。{$playerName}，你究竟想做什么? 你为谁工作? {Westernesse}的媒体，那些愚蠢的全息影像节目? 又或者这是{Kazeron}的间谍行动，来糊弄我们这群{Laicaille}乡巴佬的?""{$HeOrShe}做了几次深呼吸，让自己的情绪平复下来。

""好吧，{$playerName}舰长，如果你真的是这些人中的一员，我得和你说我'自愿'为{Kazeron}间谍打掩护可一点都不公平，{Laicaille}人被他们摆布的事实也一样。{Laicaille}栖息地一直以来自由而骄傲! 我们不支持秘密警察，秘密囚犯，也不支持{人之领}时代的老一套。""","gaFC_archonLetMeSeeHerAvoid2:""这样吗?""",
gaFCArchonLetMeSeeHerAvoid2,DialogOptionSelected,$option == gaFC_archonLetMeSeeHerAvoid2,"$option = gaFC_archonSuccessEnd 0
FireBest DialogOptionSelected","执政官的声音在冷酷的愤怒中稳定下来，他似乎已经忍受了这种情况许多年。""我要告诉你以及你背后的人 - 不管那些人有怎样的身份 - {Laicaille}究竟属于谁，它绝不属于一群在我们的空间站上玩泥巴的{Kazeron}家族子弟。""",,
gaFCArchonSuccessEnd,DialogOptionSelected,$option == gaFC_archonSuccessEnd,"$global.gaFC_visitCoureuse = true 
Call $global.gaFC_ref updateStage
SetPersonHidden coureuse true
MovePersonToMarket coureuse ga_market","""舰长，搭个穿梭机过来，在港口的行政环区等我，让我们来见见这个{Scylla}Coureuse}。""

在{$heOrShe}切断通讯前，执政官没给你回应的机会。你只能对着{Laicaille}栖息地那旋转的徽章干瞪眼。",cutCommLink:离开,
,,,,,,
# gaFC generic Comm relay hack,,,,,,
gaFC_relayObjectInteraction,COB_AddOptions,"$player.locationId == isirah
$global.gaFC_searchIsirah
$tag:comm_relay
!$cob_hacked
!$objectiveNonFunctional
$faction.id == persean",,"你可以通过在信息缓存区中运行窥探算法找到{""Scylla}Coureuse""}和相关的关键词。虽然只有最近的信息和未加密的数据具备可访问性，但其中仍肯可能存在有用的信息，而且这个过程不会损坏信息缓存区。",1:gaFC_installHack:安装并运行窥探算法,
gaFC_relayPrintHostilesText,OpenInteractionDialog,"$player.locationId == isirah
$global.gaFC_searchIsirah
$tag:comm_relay
!$cob_hacked
!$objectiveNonFunctional
$faction.id == persean
IsSeenByAnyFleet",ShowDefaultVisual,你的{$shipOrFleet}最近才被一支附近的舰队探测到，亦或是仍然在被其跟踪着，这使得秘密入侵行动成为不可能。,defaultLeave:离开,
gaFC_relayInstallHack0,DialogOptionSelected,$option == gaFC_installHack,,"一个由两名船员组成的小队驾驶着一架工作无人机来到了中继站上，快速切割其外壳以便找到可与其内部硬件连接的接口。不到一分钟后，窥探算法安装完成，中继器的外壳也被重新密封，行动小组成功返回。

现在你开始等待算法完成自己的使命。",gaFC_installHack1:继续,
gaFC_relayInstallHack1,DialogOptionSelected,$option == gaFC_installHack1,,"紧张地等待了一个小时后，你的通讯技师告诉你，窥探算法的工作完成了。一组精通技术操作，信息安全和通讯的军官和专家一直在逐步分析陆续接收到的信息，并已经完成了一份初步报告。

""我们的团队仍在进行详细的分析，并尽可能地对我们得到的信息进行解密，""你的通讯技师报告说，""但我们已经对总体情况有了一定程度的了解。""","gaFC_installHack2:""你们得到了什么信息?""",
gaFC_relayInstallHack2,DialogOptionSelected,$option == gaFC_installHack2,,"""看起来大多数主要势力，少数自由佣兵和地下特工在{Isirah}星系中的活动频率高的异常。这可以有不少合理的解释，但根据我们的分析，这种现象大概率是一个粗心大意地泄露了不少情报的左径分子造成的。""

说到这，你的通讯技师拿出了一份包含了通讯ID和英仙座联盟ID的列表。","gaFC_installHack3:""这上边值得注意的是哪个人?""",
gaFC_relayInstallHack3,DialogOptionSelected,$option == gaFC_installHack3,,"""{Jensen Gallegos}，左径渗透者的几乎所有信息都是这个人泄露的。如你所见，舰长，这个身份经不起仔细审查...呃，总体来说。""他们跳过了一些无关紧要的信息，并将展示的重点放在了一系列呈现为文本的秘密信息上，""看这里，他们疏忽大意地提到了{Coureuse}的名字 - 名字的拼写有误，这让我们发现了一个正在{Laicaille}栖息地上活动的左径组织使用的暗号系统。""

更多除了{Jensen}Gallegos}以外的，被注释了差异和错误的ID被加入了英仙座联盟的ID列表中。",gaFC_installHack4:继续,
gaFC_relayInstallHack4,DialogOptionSelected,$option == gaFC_installHack4,"$global.gaFC_knowWhereScyllaIs = true
$global.gaFC_hackedIsirahRelay = true
$global.gaFC_isirahClues++
FireBest GAFCSearchIsirahSummary","""这里有大量的通讯信息，包括文本和全息两种形式。他们认为{Coureuse}就在{Laicaille}栖息地上，只是这些人没能力接近她。同时他们认为他们的身份信息无法通过安全检查 - 这倒是千真万确。""你的通讯技师带着一丝自豪说。""他们似乎在要求总部送来一些不得了的东西，或是派来一些狠角色。""

完整的调查报告将在轮班前完成，但你已经知道你需要知道的信息了: {Laicaille}栖息地上有问题。",,
,,,,,,
"# gaFC  visit Laicaille safehouse of Coureuse
stage == VISIT_COUREUSE",,,,,,
gaFCLaicaileVisitOption,PopulateOptions,"$market.id == laicaille_habitat
$market.gaFC_safehouse
!$isPerson
Call $global.gaFC_ref updateData","SetStoryColor ""与执政官见面，并前往{Scylla Coureuse}所在的安全屋""",,1:gaFC_visitLaicailleSafehouse:与执政官碰面并去安全屋拜访{Scylla Coureuse}。,
gaFCLaicaileVisitStart,DialogOptionSelected,"$option == gaFC_visitLaicailleSafehouse
Call $global.gaFC_ref updateData","BeginConversation laicaille_archon false true
FireBest GAFCLaicaileVisitStart
FireBest GAFCAlamangCheck1",,,
gaFCLaicaileVisitStartText,GAFCLaicaileVisitStart,,,你走下穿梭机，并见到了一脸严肃的{$personLastName}执政官以及{$hisOrHer}随行人员。接着你被介绍给了{Laicaille}执行委员会的其他六名成员; 执政官向你保证他们会全力支持你，但你注意到其中一人偷偷翻了个白眼，看起来并不是所有人都和执政官一样对此无比热情。,,
